cvegeo,nom,pob_1990,pob_2000,pob_2010,crec_1990_2000,crec_2000_2010,sup_km,dens_hab_ha
09002,Azcapotzalco, 474 688, 441 008, 414 711,-0.7,-0.6,  33.5,189.0
09003,Coyoacán, 640 066, 640 423, 620 416,0.0,-0.3,  53.9,194.4
09004,Cuajimalpa de Morelos, 119 669, 151 222, 186 391,2.4,2.0,  71.5,89.5
09005,Gustavo A. Madero,1 268 068,1 235 542,1 185 772,-0.3,-0.4,  87.9,200.2
09006,Iztacalco, 448 322, 411 321, 384 326,-0.9,-0.7,  23.1,210.4
09007,Iztapalapa,1 490 499,1 773 343,1 815 786,1.8,0.2,  113.2,215.4
09008,La Magdalena Contreras, 195 041, 222 050, 239 086,1.3,0.7,  63.4,162.3
09009,Milpa Alta, 63 654, 96 773, 130 582,4.3,2.9,  298.2,47.3
09010,Álvaro Obregón, 642 753, 687 020, 727 034,0.7,0.5,  95.9,193.5
09011,Tláhuac, 206 700, 302 790, 360 265,3.9,1.7,  85.8,135.8
09012,Tlalpan, 484 866, 581 781, 650 567,1.9,1.1,  314.5,119.9
09013,Xochimilco, 271 151, 369 787, 415 007,3.2,1.1,  114.1,93.8
09014,Benito Juárez, 407 811, 360 478, 385 439,-1.2,0.7,  26.7,157.1
09015,Cuauhtémoc, 595 960, 516 255, 531 831,-1.4,0.3,  32.5,215.6
09016,Miguel Hidalgo, 406 868, 352 640, 372 889,-1.4,0.5,  46.4,186.7
09017,Venustiano Carranza, 519 628, 462 806, 430 978,-1.2,-0.7,  33.9,209.5
13069,Tizayuca, 30 293, 46 344, 97 461,4.4,7.5,  76.8,57.5
15002,Acolman, 43 276, 61 250, 136 558,3.6,8.1,  86.9,78.8
15009,Amecameca, 36 321, 45 255, 48 421,2.2,0.7,  176.2,45.9
15010,Apaxco, 18 500, 23 734, 27 521,2.5,1.4,  75.7,40.3
15011,Atenco, 21 219, 34 435, 56 243,5.0,4.9,  87.7,52.1
15013,Atizapán de Zaragoza, 315 192, 467 886, 489 937,4.1,0.4,  92.9,130.8
15015,Atlautla, 18 993, 25 950, 27 663,3.2,0.6,  167.7,37.7
15016,Axapusco, 15 803, 20 516, 25 559,2.7,2.2,  286.5,23.6
15017,Ayapango, 4 239, 5 947, 8 864,3.5,3.9,  50.7,29.0
15020,Coacalco de Berriozábal, 152 082, 252 555, 278 064,5.2,0.9,  35.0,161.2
15022,Cocotitlán, 8 068, 10 205, 12 142,2.4,1.7,  14.8,52.3
15023,Coyotepec, 24 451, 35 358, 39 030,3.8,1.0,  39.9,48.6
15024,Cuautitlán, 48 858, 75 836, 140 059,4.5,6.1,  40.8,125.0
15025,Chalco, 282 940, 217 972, 310 130,-2.6,3.5,  225.2,96.5
15028,Chiautla, 14 764, 19 620, 26 191,2.9,2.8,  20.3,22.8
15029,Chicoloapan, 57 306, 77 579, 175 053,3.1,8.2,  42.1,150.4
15030,Chiconcuac, 14 179, 17 972, 22 819,2.4,2.3,  6.8,51.4
15031,Chimalhuacán, 242 317, 490 772, 614 453,7.4,2.2,  54.5,159.1
15033,Ecatepec de Morelos,1 218 135,1 622 697,1 656 107,2.9,0.2,  156.2,164.6
15034,Ecatzingo, 5 808, 7 916, 9 369,3.2,1.6,  53.2,11.2
15035,Huehuetoca, 25 529, 38 458, 100 023,4.2,9.7,  119.8,76.8
15036,Hueypoxtla, 26 189, 33 343, 39 864,2.5,1.7,  234.5,20.2
15037,Huixquilucan, 131 926, 193 468, 242 167,3.9,2.2,  140.9,100.4
15038,Isidro Fabela, 5 190, 8 168, 10 308,4.7,2.3,  79.7,17.6
15039,Ixtapaluca, 137 357, 297 570, 467 361,8.1,4.5,  324.0,142.4
15044,Jaltenco, 22 803, 31 629, 26 328,3.4,-1.8,  4.7,157.7
15046,Jilotzingo, 9 011, 15 086, 17 970,5.3,1.7,  116.5,20.8
15050,Juchitepec, 14 270, 18 968, 23 497,2.9,2.1,  132.5,72.7
15053,Melchor Ocampo, 26 154, 37 716, 50 240,3.8,2.8,  14.0,65.9
15057,Naucalpan de Juárez, 786 551, 858 711, 833 779,0.9,-0.3,  157.9,192.8
15058,Nezahualcóyotl,1 256 115,1 225 972,1 110 565,-0.2,-1.0,  63.3,226.8
15059,Nextlalpan, 10 840, 19 532, 31 691,6.1,4.8,  54.7,31.3
15060,Nicolás Romero, 184 134, 269 546, 366 602,3.9,3.0,  232.6,86.5
15061,Nopaltepec, 5 234, 7 512, 8 895,3.7,1.7,  82.6,15.8
15065,Otumba, 21 834, 29 097, 34 232,2.9,1.6,  141.9,22.0
15068,Ozumba, 18 052, 23 592, 27 207,2.7,1.4,  47.5,46.1
15069,Papalotla, 2 387, 3 469, 4 147,3.8,1.7,  3.2,19.4
15070,La Paz, 134 782, 212 694, 253 845,4.7,1.7,  36.6,134.7
15075,San Martín de las Pirámides, 13 563, 19 694, 24 851,3.8,2.3,  69.9,43.0
15081,Tecámac, 123 218, 172 813, 364 579,3.5,7.5,  156.9,98.2
15083,Temamatla, 5 366, 8 840, 11 206,5.2,2.3,  29.2,37.2
15084,Temascalapa, 19 099, 29 307, 35 987,4.4,2.0,  164.6,21.7
15089,Tenango del Aire, 6 207, 8 486, 10 578,3.2,2.2,  38.0,41.0
15091,Teoloyucan, 41 964, 66 556, 63 115,4.8,-0.5,  31.0,44.2
15092,Teotihuacán, 30 486, 44 653, 53 010,3.9,1.7,  83.2,37.1
15093,Tepetlaoxtoc, 16 120, 22 729, 27 944,3.5,2.0,  178.5,15.5
15094,Tepetlixpa, 12 687, 16 863, 18 327,2.9,0.8,  43.1,32.2
15095,Tepotzotlán, 39 647, 62 280, 88 559,4.7,3.5,  207.1,55.4
15096,Tequixquiac, 20 784, 28 067, 33 907,3.1,1.8,  122.5,18.7
15099,Texcoco, 140 368, 204 102, 235 151,3.8,1.4,  428.1,45.9
15100,Tezoyuca, 12 416, 18 852, 35 199,4.3,6.2,  16.5,37.0
15103,Tlalmanalco, 32 984, 42 507, 46 130,2.6,0.8,  160.2,53.5
15104,Tlalnepantla de Baz, 702 807, 721 415, 664 225,0.3,-0.8,  80.4,155.4
15108,Tultepec, 47 323, 93 277, 131 567,7.1,3.4,  26.8,109.4
15109,Tultitlán, 246 464, 432 141, 486 998,5.8,1.2,  66.0,154.6
15112,Villa del Carbón, 27 283, 37 993, 44 881,3.4,1.6,  303.4,21.6
15120,Zumpango, 71 413, 99 774, 159 647,3.4,4.7,  223.6,45.0
15121,Cuautitlán Izcalli, 326 750, 453 298, 511 675,3.4,1.2,  110.1,126.5
15122,Valle de Chalco Solidaridad,n.a., 323 461, 357 645,n.a.,1.0,  46.6,158.7
15125,Tonanitla,n.a.,n.a., 10 216,n.a.,n.a.,  9.0,56.4